BATHRM,HF_BATHRM,ROOMS,BEDRM,AYB,YR_RMDL,STORIES,SALEDATE,SALEMONTH,SALEDAY,SALEYEAR,GBA,CNDTN,LANDAREA,PRICE
3,1,10,4,1890,2007,3,5/12/16 0:00,5,12,2016,2382,Good,1800,1600000
3,1,10,4,1890,2008,3,3/26/08 0:00,3,26,2008,2336,Good,1800,1187000
2,0,11,5,1890,2012,3,12/8/10 0:00,12,8,2010,2016,Average,1800,751000
3,1,10,5,1890,2004,3,7/23/08 0:00,7,23,2008,2240,Good,2000,1325000
3,0,10,4,1890,2004,3,6/12/02 0:00,6,12,2002,2248,Good,2000,813500
3,1,10,4,1890,1989,3,9/16/10 0:00,9,16,2010,2544,Good,2000,1195000
4,0,12,4,1895,1985,3,4/4/06 0:00,4,4,2006,2280,Good,2000,1195000
4,1,8,6,1895,2008,3,4/24/12 0:00,4,24,2012,2376,Good,2000,1340000
3,1,10,4,1895,2009,3,9/22/03 0:00,9,22,2003,3306,Good,2000,875000
3,0,10,5,1895,1962,3,5/14/15 0:00,5,14,2015,2700,Average,2000,1711000
1,0,6,3,1875,1973,2,10/10/14 0:00,10,10,2014,1272,Good,1423,800000
1,1,6,3,1875,2009,2,9/4/13 0:00,9,4,2013,1272,Average,1423,700000
3,0,9,3,1890,2006,3,12/12/14 0:00,12,12,2014,2514,Good,1400,1200000
5,0,9,4,1890,2014,3,7/10/14 0:00,7,10,2014,2904,Average,1400,1103500
3,1,12,4,1890,2004,3,1/26/04 0:00,1,26,2004,2262,Good,1400,629000
9,0,16,9,1890,2011,3,10/7/15 0:00,10,7,2015,3498,Good,1350,1523870
4,1,10,4,1885,2015,3,2/10/16 0:00,2,10,2016,2154,Very Good,1440,2149000
3,1,8,5,1890,2009,3,9/30/13 0:00,9,30,2013,2355,Good,1415,1360000
4,1,12,6,1885,2000,3,3/15/18 0:00,3,15,2018,2924,Good,1506,1720000
4,1,10,4,1890,2008,2,11/5/09 0:00,11,5,2009,2296,Very Good,2145,1625000
4,0,15,6,1925,1996,3,9/9/14 0:00,9,9,2014,2751,Good,2146,1350000
2,1,8,3,1870,2008,2,3/31/15 0:00,3,31,2015,1288,Good,2145,1400000
4,1,12,5,1910,2010,3,5/26/16 0:00,5,26,2016,2420,Good,1000,1600000
4,0,14,5,1900,2004,3,12/11/97 0:00,12,11,1997,2410,Very Good,1000,341000
5,2,19,6,1900,2001,3,8/19/03 0:00,8,19,2003,2563,Good,1667,1300000
3,1,12,5,1920,2000,3,6/22/09 0:00,6,22,2009,3127,Average,1667,1350000
4,0,9,5,1900,2003,3,11/4/15 0:00,11,4,2015,2379,Good,1666,1700000
4,1,13,6,1900,1989,3,6/10/13 0:00,6,10,2013,2509,Good,1666,1515000
1,1,6,3,1900,2012,2,1/28/00 0:00,1,28,2000,1324,Average,960,349000
1,1,7,2,1900,1992,2,6/14/18 0:00,6,14,2018,1148,Average,840,932500
1,1,6,2,1900,2004,2,8/31/04 0:00,8,31,2004,1148,Good,840,625000
1,1,6,2,1900,2000,2,9/23/10 0:00,9,23,2010,1148,Average,840,660000
2,1,9,4,1907,2010,2,4/26/04 0:00,4,26,2004,1400,Good,807,775000
2,0,7,3,1907,2001,2,1/10/11 0:00,1,10,2011,1250,Good,806,735000
2,1,7,3,1911,2000,3,4/22/04 0:00,4,22,2004,1728,Good,1138,980000
2,1,7,3,1911,1991,2,1/26/98 0:00,1,26,1998,1296,Average,1138,339900
3,0,6,3,1911,2012,2,8/24/10 0:00,8,24,2010,1296,Good,1100,630000
2,0,7,3,1917,2011,2,1/16/18 0:00,1,16,2018,1260,Average,1191,1020000
5,1,10,5,1923,2011,3,7/16/12 0:00,7,16,2012,2829,Very Good,1512,1617500
4,1,11,4,1905,2003,3,5/29/03 0:00,5,29,2003,2829,Average,1512,815000
4,0,10,5,1925,1980,3,11/13/08 0:00,11,13,2008,2829,Average,1512,1069000
6,0,8,4,1900,1990,3,5/30/03 0:00,5,30,2003,2829,Good,1512,960000
3,1,10,4,1905,1985,3,4/8/98 0:00,4,8,1998,2572,Good,1700,405000
3,1,9,6,1905,2011,3,7/22/08 0:00,7,22,2008,2613,Average,1700,1075000
2,1,9,4,1905,2004,3,4/30/04 0:00,4,30,2004,2572,Good,1700,1130000
3,1,14,4,1905,2005,3,9/21/16 0:00,9,21,2016,2551,Good,1700,1500000
4,0,10,4,1905,2002,3,6/10/98 0:00,6,10,1998,2717,Good,1700,260000
3,1,12,8,1907,1988,3,11/22/11 0:00,11,22,2011,3000,Good,1600,1299000
2,1,7,3,1907,2010,2,8/30/17 0:00,8,30,2017,2040,Very Good,1098,1345000
2,1,7,3,1908,1994,2,7/1/94 0:00,7,1,1994,1360,Good,1098,286000
3,1,6,3,1979,2008,2,1/2/13 0:00,1,2,2013,1360,Good,1098,1025000
2,1,10,3,1900,1979,2,7/8/10 0:00,7,8,2010,2900,Good,1600,1193500
3,1,11,3,1955,2012,3,9/28/95 0:00,9,28,1995,2908,Average,1755,555325
3,1,9,4,1890,2003,3,3/5/99 0:00,3,5,1999,2634,Good,1755,675000
2,1,7,3,1890,2005,2,3/31/14 0:00,3,31,2014,1881,Good,1755,1175000
2,1,6,3,1890,1989,2,8/10/04 0:00,8,10,2004,1860,Good,1755,955000
2,0,7,3,1948,1963,2,11/27/07 0:00,11,27,2007,1860,Average,1755,885000
2,0,6,3,1860,2009,2,11/5/07 0:00,11,5,2007,1860,Average,1755,900000
